"Year","Sector","Consumption (MWh)"
2009,"Commercial",77416672.86
2009,"Other",59222226.96
2010,"Transport",414111144.2
2010,"Electricity Supply",487555594.6
2010,"Manufacturing",349944472.4
2010,"Mining",103416674.9
2010,"Residential",123416676.5
2010,"Commercial",79000006.32
2010,"Other",60250004.82
2011,"Transport",423444478.3
2011,"Electricity Supply",467388926.3
2011,"Manufacturing",369611140.7
2011,"Mining",113194453.5
2011,"Residential",126138899
2011,"Commercial",80916673.14
2011,"Other",59000004.72
2012,"Transport",429888923.3
2012,"Electricity Supply",479527816.1
2012,"Manufacturing",337472249.2
2012,"Mining",124472232.2
2012,"Residential",125944454.5
2012,"Commercial",79638895.26
2012,"Other",58722226.92
2013,"Transport",437222257.2
2013,"Electricity Supply",444472257.8
2013,"Manufacturing",355250028.4
2013,"Mining",139138900
2013,"Residential",126416676.8
2013,"Commercial",82250006.58
2013,"Other",58777782.48
2014,"Transport",442277813.2
2014,"Electricity Supply",434666701.4
2014,"Manufacturing",346416694.4
2014,"Mining",147083345.1
2014,"Residential",120861120.8
2014,"Commercial",80972228.7
2014,"Other",58583338.02
2015,"Transport",450916702.7
2015,"Electricity Supply",458444481.1
2015,"Manufacturing",312805580.6
2015,"Mining",144777789.4
2015,"Residential",123277787.6
2015,"Commercial",88833340.44
2015,"Other",59416671.42
2016,"Transport",459694481.2
2016,"Electricity Supply",471583371.1
2016,"Manufacturing",311916691.6
2016,"Mining",159888901.7
2016,"Residential",123416676.5
2016,"Commercial",87250006.98
2016,"Other",62611116.12
2017,"Transport",469472259.8
2017,"Electricity Supply",461833370.3
2017,"Manufacturing",303500024.3
2017,"Mining",185083348.1
2017,"Residential",126000010.1
2017,"Commercial",87388895.88
2017,"Other",62444449.44
2018,"Transport",481694483
2018,"Electricity Supply",444916702.3
2018,"Manufacturing",306055580
2018,"Mining",202694460.7
2018,"Residential",124722232.2
2018,"Commercial",88666673.76
2018,"Other",64611116.28
2019,"Transport",485166705.5
2019,"Electricity Supply",435111145.9
2019,"Manufacturing",300277801.8
2019,"Mining",225666684.7
2019,"Residential",126944454.6
2019,"Commercial",86305562.46
2019,"Other",59500004.76
2020,"Transport",441638924.2
2020,"Electricity Supply",423111145
2020,"Manufacturing",293055579
2020,"Mining",237111130.1
2020,"Residential",131805566.1
2020,"Commercial",82777784.4
2020,"Other",57472226.82
2021,"Transport",393972253.7
2021,"Electricity Supply",404166699
2021,"Manufacturing",289694467.6
2021,"Mining",236222241.1
2021,"Residential",134472233
2021,"Commercial",80027784.18
2021,"Other",64027782.9
2022,"Transport",402166698.8
2022,"Electricity Supply",390527809
2022,"Manufacturing",285805578.4
2022,"Mining",240527797
2022,"Residential",138138899.9
2022,"Commercial",82250006.58
2022,"Other",62000004.96
2023,"Transport",450583369.4
2023,"Electricity Supply",382861141.7
2023,"Manufacturing",276750022.1
2023,"Mining",245305575.2
2023,"Residential",134500010.8
2023,"Commercial",85583340.18
2023,"Other",58388893.56
